'dian'xian'dian'lan'zhi'zao'gong 电线电缆制造工
'dian'xin'ye'wu'ying'ye'yuan 电信业务营业员
'dian'ying'dian'shi'chang'ji 电影电视场记
'dian'ying'dian'shi'dao'yan 电影电视导演
'dian'ying'dian'shi'pian'fa'xing'ren 电影电视片发行人
'dian'ying'dian'shi'she'ying'shi 电影电视摄影师
'dian'ying'dian'shi'yan'yuan 电影电视演员
'dian'ying'dian'shi'zhi'pian 电影电视制片
'dian'ying'fang'ying'yuan 电影放映员
'dian'ying'gong'cheng'ji'shu'ren'yuan 电影工程技术人员
'dian'ying'xi'yin'yuan 电影洗印员
'dian'yuan'tiao'shi'gong 电源调试工
'dian'zi'cai'liao'gong'cheng'ji'shu'ren'yuan 电子材料工程技术人员
'dian'zi'chan'pin'zhi'ban'gong 电子产品制版工
'dian'zi'chu'ban'wu'bian'ji 电子出版物编辑
'dian'zi'jing'mi'ji'xie'zhuang'tiao'gong 电子精密机械装调工
'dian'zi'jue'yuan'yu'jie'zhi'cai'liao'zhi'zao'gong 电子绝缘与介质材料制造工
'dian'zi'qi'jian'jian'yan'gong 电子器件检验工
'dian'zi'she'bei'zhuang'jie'gong 电子设备装接工
'dian'zi'yi'qi'yi'biao'zhuang'pei'gong 电子仪器仪表装配工
'dian'zi'yi'qi'yu'ce'liang'gong'cheng'ji'shu'ren'yuan 电子仪器与测量工程技术人员
'dian'zi'yong'shui'zhi'bei'gong 电子用水制备工
'dian'zi'yuan'qi'jian'gong'cheng'ji'shu'ren'yuan 电子元器件工程技术人员
'dian'zi'zhen'kong'du'mo'gong 电子真空镀膜工
'dian'zi'zhuan'yong'she'bei'zhuang'tiao'gong 电子专用设备装调工
'dian'zu'qi'zhi'zao'gong 电阻器制造工
'diao'su'fan'zhi'gong 雕塑翻制工
'diao'su'jia 雕塑家
'ding'ben'xiang'jiao'sheng'chan'gong 丁苯橡胶生产工
'ding'jing'xiang'jiao'sheng'chan'gong 丁腈橡胶生产工
'dong'li'pei'mei'gong 动力配煤工
'dong'wu'jian'yi'jian'yan'yuan 动物检疫检验员
'dong'wu'yi'bing'fang'zhi'yuan 动物疫病防治员
'dou'zhi'pin'zhi'zuo'gong 豆制品制作工
'du'ceng'gong 镀层工
'duan'zao'gong 锻造工
'duo'ji'huo'yao'zhi'zao'gong 多基火药制造工
'duo'jing'zhi'qu'gong 多晶制取工
'er'bi'hou'ke'yi'shi 耳鼻喉科医师
'er'ke'yi'shi 儿科医师
'er'liu'hua'tan'zhi'zao'gong 二硫化碳制造工
'fa'dian'chang'dian'dong'ji'jian'xiu'gong 发电厂电动机检修工
'fa'dian'chang'dian'qi'she'bei'an'zhuang'gong 发电厂电气设备安装工
'fa'dian'che'cheng'wu'yuan 发电车乘务员
'fa'dian'gong'cheng'ji'shu'ren'yuan 发电工程技术人员
'fa'dian'ji'qing'leng'zhi'ban'yuan 发电机氢冷值班员
'fa'dian'ji'she'bei'an'zhuang'gong 发电机设备安装工
'fa'guan 法官
'fa'jiao'gong'cheng'zhi'yao'gong 发酵工程制药工
'fa'xue'yan'jiu'ren'yuan 法学研究人员
